"","distancia_centro_comercial","distancia_escuela","distancia_universidad","distancia_cesped","distancia_bosques","distancia_parque","distancia_cine","distancia_discoteca","distancia_transporte","geometry"
"21988",1280,2732,1303,50799,4337,11676,84,92,1091,c(-74.1047959, 4.5968471)
"21989",1748,4465,291,48359,4335,16722,9,107,1617,c(-74.1116828, 4.622252)
"21990",1840,7814,1098,26647,6911,27638,67,47,310,c(-74.0740376, 4.5978205)
"21991",471,5092,42,27832,5792,292,26,45,635,c(-74.0701564, 4.6196167)
"21992",721,2573,1454,27959,6438,9810,84,17,924,c(-74.133019, 4.594647)
"21993",1109,3528,1751,27762,3794,10277,13,85,1195,c(-74.0722557545, 4.646581957)
"21994",733,734,1129,57791,4328,20346,13,3,631,c(-74.0728732, 4.6288574)
"21995",558,4813,157,60735,8177,4412,16,64,550,c(-74.0609499, 4.6790252)
"21996",733,3286,1305,27832,5792,257,26,45,634,c(-74.0714381, 4.619271)
"21997",733,3286,1305,27832,5792,257,26,45,634,c(-74.0714381, 4.619271)
"21998",18,1919,145,43689,3794,134,13,80,1913,c(-74.0785179, 4.6430867)
"21999",558,4813,157,60735,8177,4409,16,64,2449,c(-74.0619041, 4.6799706)
"22000",733,3286,1305,27832,5792,257,26,45,634,c(-74.0714381, 4.619271)
"22001",733,3286,1305,27832,5792,257,26,45,634,c(-74.0714381, 4.619271)
"22002",720,5398,1792,27006,4328,10268,13,1,624,c(-74.0702219, 4.6344683)
"22003",733,4638,1411,25019,4327,19957,27,57,2619,c(-74.0743437, 4.6230142)
"22004",558,1017,1173,59105,8178,5886,16,64,2457,c(-74.0658735376, 4.6836591481)
"22005",137,94,909,56111,8177,4174,21,64,168,c(-74.0659449, 4.6732768)
"22006",137,4817,1125,26743,8177,11617,21,64,553,c(-74.0611009, 4.6751784)
"22007",6,70,56,362,6652,10545,47,65,2346,c(-74.0866467, 4.6707778)
"22008",720,414,768,66102,5645,212,82,144,618,c(-74.0690525, 4.643209)
"22009",6,1164,58,46734,8080,480,47,65,2347,c(-74.0844592, 4.6668752)
"22010",137,4817,1125,26839,8177,11592,21,64,163,c(-74.0637267574, 4.6751124073)
"22011",17,1006,1932,54357,3801,102,13,80,1208,c(-74.0817444, 4.6498745)
"22012",560,669,157,48104,6316,14721,16,64,1255,c(-74.0588481, 4.6846879)
"22013",1946,20,1284,132,9,63,10,30,1364,c(-74.0943026, 4.6487867)
"22014",560,669,157,59157,8178,4424,16,64,2450,c(-74.0615347, 4.6850907)
"22015",20,1958,1345,26884,5244,34423,13,84,1074,c(-74.0730728, 4.6382468)
"22016",733,2308,2283,25019,4327,19957,27,57,2619,c(-74.0754128, 4.6228803)
"22017",139,972,1750,32380,8089,6123,46,71,1673,c(-74.0704531, 4.6611493)
"22018",7,2751,909,50882,8176,34284,77,65,172,c(-74.0736157, 4.6728084)
"22019",560,669,157,49304,8178,14722,16,64,2450,c(-74.0608254, 4.6849138)
"22020",455,1151,1918,18928,7835,35714,74,9,2600,c(-74.0942824, 4.686781)
"22021",164,676,2036,9702,6617,1375,56,30,446,c(-74.1091293, 4.6586499)
"22022",1885,728,1286,20996,16,4618,10,30,2323,c(-74.104728, 4.64612)
"22023",164,757,743,1302,6615,9890,35,30,1405,c(-74.1082334518, 4.6550689019)
"22024",164,760,210,21250,6616,14191,54,30,9,c(-74.1110001, 4.6573485)
"22025",2308,7392,439,46772,6616,10538,12,98,889,c(-74.1305749, 4.6583825)
"22026",163,760,210,21341,6616,16559,1,30,9,c(-74.1137725, 4.6566748)
"22027",849,5101,439,21726,6589,18719,12,98,128,c(-74.1347084, 4.6617709)
"22028",1273,3647,210,21397,6589,13188,53,101,445,c(-74.114834, 4.661643)
"22029",1573,757,1286,49465,6614,16534,81,30,1405,c(-74.1061426, 4.6530245)
"22030",1273,3077,210,50220,6589,17211,56,100,421,c(-74.108505982, 4.6680059486)
"22031",11,2389,155,53722,6678,4672,83,106,421,c(-74.1034458, 4.6725941)
"22032",613,1830,115,3257,3699,4492,74,70,38,c(-74.0982718, 4.707111)
"22033",2257,3432,1922,5968,8048,4761,83,10,195,c(-74.1096591, 4.6916014)
"22034",2283,3647,210,6611,6616,19708,41,101,454,c(-74.1195064, 4.6581279)
"22035",1273,740,210,9870,6589,610,83,100,1449,c(-74.1150035, 4.66964)
"22036",8,502,1179,68883,8175,34477,77,65,2328,c(-74.0822039, 4.68304)
"22037",1573,758,1286,6817,6614,21810,81,30,2324,c(-74.107273, 4.652647)
"22038",164,760,210,21250,6616,14191,54,30,9,c(-74.1110001, 4.6573485)
"22039",164,679,743,1294,6615,3301,35,30,1405,c(-74.107462, 4.6557146)
"22040",2680,1151,1395,18906,7838,1436,74,9,246,c(-74.0905696, 4.6871132)
"22041",510,412,1168,4988,8037,6194,83,86,293,c(-74.134425, 4.6820173)
"22042",1490,1778,1165,1040,8048,6977,19,87,261,c(-74.1132764, 4.6966735)
"22043",455,1151,1918,18929,7835,35716,74,9,251,c(-74.0942736, 4.6874858)
"22044",15,7813,1921,20180,8048,10907,83,106,303,c(-74.1057307, 4.6833443)
"22045",1272,393,210,21804,6589,654,12,98,1468,c(-74.121395, 4.6688071)
"22046",1573,757,1286,49465,6614,16534,81,30,1405,c(-74.1061426, 4.6530245)
"22047",1885,728,1286,20996,16,4618,10,30,2323,c(-74.104728, 4.64612)
"22048",11,2389,155,53784,6679,4676,47,106,421,c(-74.1028674, 4.672049)
"22049",2259,655,1922,1277,8048,42,83,10,196,c(-74.1055338, 4.6913056)
"22050",11,501,155,53788,6678,4682,47,106,2343,c(-74.102791, 4.671233)
"22051",2308,7393,439,5898,6616,33781,12,98,889,c(-74.1278597, 4.6580863)
"22052",2308,7393,439,53142,6616,33782,12,98,889,c(-74.1278572, 4.6586609)
"22053",455,1151,1918,18929,7835,35716,74,9,251,c(-74.0942736, 4.6874858)
"22054",465,5632,1173,59216,6391,1955,16,56,2460,c(-74.064, 4.695)
"22055",1049,1163,72,13030,8389,1000,31,50,2019,c(-74.0545995, 4.755932)
"22056",465,5632,1173,59216,6391,1956,16,56,2463,c(-74.0637491, 4.695545)
"22057",1076,7951,76,60293,6303,33575,45,68,407,c(-74.0573337, 4.7391066)
"22058",1027,5054,1001,17835,6304,8762,45,68,229,c(-74.0643455, 4.7370979)
"22059",1073,1672,1221,29929,6304,11377,45,68,1956,c(-74.0578294, 4.7326056)
"22060",1296,3729,76,13016,7147,32917,31,50,875,c(-74.0574065, 4.7513815)
"22061",479,588,1051,17811,5429,2783,42,67,229,c(-74.0670525, 4.7288965)
"22062",1871,1043,1047,17734,5419,18639,42,67,2702,c(-74.0731598, 4.7230302)
"22063",557,3004,1150,17434,6317,7329,16,56,1860,c(-74.0590723, 4.6926581)
"22064",256,2003,176,18363,7838,10844,74,9,879,c(-74.0828289, 4.695237)
"22065",1413,1099,420,2462,5984,5544,25,13,227,c(-74.0895545, 4.7472728)
"22066",636,3146,1151,62124,6402,977,29,55,401,c(-74.058819, 4.7049107)
"22067",461,5633,1151,60859,6399,1918,16,55,1901,c(-74.0608151, 4.7008108)
"22068",1074,1673,1221,29924,6308,21643,79,68,1965,c(-74.0531306, 4.7328972)
"22069",834,5064,1047,662,5431,2698,45,67,229,c(-74.0718702, 4.7296403)
"22070",834,5064,1047,662,5431,2698,45,67,229,c(-74.0718702, 4.7296403)
"22071",465,5632,1173,59216,6391,1956,16,56,2463,c(-74.0637491, 4.695545)
"22072",834,6863,1047,17864,5434,2715,45,67,229,c(-74.0693607, 4.7312211)
"22073",256,935,176,18368,5692,16051,74,65,247,c(-74.0790032, 4.6957332)
"22074",476,588,1051,68233,6304,21711,42,67,229,c(-74.0634041, 4.7290383)
"22075",834,5064,1047,53530,5429,2697,45,67,229,c(-74.0722178, 4.7289997)
"22076",2672,2829,76,17905,3915,32565,45,50,2722,c(-74.0679975, 4.7518526)
"22077",2724,959,1001,14386,5446,2671,45,67,228,c(-74.0769037448, 4.7313151214)
"22078",36,390,1221,54179,6304,3479,20,67,405,c(-74.0567334, 4.7248759)
"22079",461,3146,1151,12793,6402,15505,16,55,1901,c(-74.0601215, 4.7019008)
"22080",364,994,420,12070,883,2308,15,13,2754,c(-74.0894873, 4.7426081)
"22081",262,935,176,18370,5692,7614,74,9,879,c(-74.0788051, 4.6976352)
"22082",636,3146,1151,8108,6402,9334,29,55,401,c(-74.0591591, 4.7048856)
"22083",2162,992,1173,68078,8175,9719,30,65,2309,c(-74.0752464, 4.6883792)
"22084",260,2001,177,3752,5692,4886,74,70,2599,c(-74.082639, 4.702326)
"22085",2144,963,1051,54163,5420,2845,20,67,1934,c(-74.0628587, 4.7235533)
"22086",1027,587,1051,68111,6304,2814,45,68,229,c(-74.0646812, 4.7332174)
"22087",461,3000,1151,60859,6409,1918,16,56,1901,c(-74.0591891, 4.6996924)
"22088",260,2003,176,18367,5692,10750,74,9,879,c(-74.0819202, 4.6970657)
"22089",1609,2474,288,13972,6310,36352,29,55,2529,c(-74.0656009, 4.7092735)
"22090",36,390,1051,54177,6304,3479,20,67,405,c(-74.0579670577, 4.7258704528)
"22091",465,3006,1150,17436,6344,3577,16,56,1853,c(-74.0609764, 4.694293)
"22092",465,3000,1150,17437,6371,17129,16,56,489,c(-74.0613051, 4.6958153)
"22093",1452,2474,288,64196,6311,18602,29,67,231,c(-74.0662134, 4.7125545)
"22094",609,214,1048,53515,50,29150,29,70,2533,c(-74.0825282, 4.711651)
"22095",384,1996,1173,4980,6392,13580,30,56,2304,c(-74.0696214, 4.6903839)
"22096",557,3459,157,57653,6344,7284,16,56,2297,c(-74.0620229, 4.6902041)
"22097",834,5064,1001,53534,5436,2708,45,67,229,c(-74.0726585, 4.7317146)
"22098",692,215,1047,18235,5403,11854,29,70,2692,c(-74.0768035, 4.7192399)
"22099",606,2183,1049,13905,5686,37037,29,70,232,c(-74.0774725, 4.7093709)
"22100",461,5633,1150,68626,6393,22187,16,56,2472,c(-74.06325, 4.6989573)
"22101",606,2186,1050,13900,7718,36759,29,70,232,c(-74.0757595, 4.7107414)
"22102",692,215,1047,18237,5402,11853,29,70,2692,c(-74.0778045, 4.7185198)
"22103",325,114,288,30093,6393,9957,29,55,233,c(-74.0676553, 4.7054618)
"22104",465,3006,1150,17436,6345,3577,16,56,1860,c(-74.0613607, 4.6939351)
"22105",692,215,1047,17754,5389,11837,29,70,2700,c(-74.0793000859, 4.721394906)
"22106",755,4476,1184,13707,5104,839,8,107,887,c(-74.1386554, 4.6359671)
"22107",248,7985,1184,24779,5105,17727,17,137,888,c(-74.139012, 4.6236782)
"22108",248,2269,1184,51491,5104,788,8,137,717,c(-74.1418639, 4.6326446)
"22109",112,4632,1184,24593,4242,918,9,120,1281,c(-74.1319122, 4.6173486)
"22110",755,4476,1184,40075,5104,780,8,137,887,c(-74.1403508, 4.6343822)
"22111",1278,979,1184,60728,4242,17591,9,136,2573,c(-74.1258113, 4.623558)
"22112",1069,3271,1183,29226,5108,21790,80,134,122,c(-74.1482144, 4.6096697)
"22113",1578,3205,1183,25391,5107,2969,3,134,122,c(-74.1454454641, 4.6135264221)
"22114",813,4761,775,60521,6238,18771,28,137,2423,c(-74.1684529225, 4.6363849709)
"22115",1275,3649,1184,24631,4242,885,62,136,710,c(-74.1313365, 4.6268339)
"22116",98,2564,1184,24732,5107,17715,63,137,1688,c(-74.1376132, 4.6196117)
"22117",2270,5330,1454,29186,5109,21093,80,16,533,c(-74.1460412, 4.5983015)
"22118",1288,1020,647,29777,8196,21443,84,92,1085,c(-74.1100006104, 4.5910000801)
"22119",773,1215,1308,30324,6461,6864,88,17,839,c(-74.142, 4.583)
"22120",717,2473,674,38919,7186,27580,67,88,999,c(-74.0889968872, 4.5770001411)
"22121",716,4422,677,60943,7186,16650,67,88,349,c(-74.0849990845, 4.5770001411)
"22122",1897,7607,272,30843,5920,22953,86,16,1146,c(-74.162, 4.581)
"22123",774,1724,1416,31287,6463,5862,84,17,1133,c(-74.137, 4.592)
"22124",2688,5678,672,33963,7186,13001,67,92,771,c(-74.091003418, 4.5850000382)
"22125",1124,1396,421,32324,8234,23147,84,92,780,c(-74.1019973755, 4.5819997788)
"22126",2342,440,226,30773,852,22416,80,16,536,c(-74.1579971313, 4.5929999352)
"22127",1124,506,433,34010,8233,23194,84,92,788,c(-74.105, 4.579)
"22128",141,1195,1308,30297,6461,22148,84,17,839,c(-74.139, 4.583)
"22129",2688,783,418,45818,8236,4144,67,92,762,c(-74.0930023193, 4.5910000801)
"22130",1123,5602,1316,28366,8229,4895,84,92,794,c(-74.1139984131, 4.5789999962)
"22131",1960,926,418,32174,8206,5691,84,92,1091,c(-74.0999984741, 4.5929999352)
"22132",271,5450,611,25282,6449,1135,84,92,1039,c(-74.1230010986, 4.5850000382)
"22133",2342,440,226,30773,852,22416,80,16,536,c(-74.1579971313, 4.5929999352)
"22134",1061,3344,156,13575,4880,1977,44,53,68,c(-74.0410003662, 4.6979999542)
"22135",198,108,74,45230,8409,31650,31,50,2026,c(-74.0409791, 4.7548096)
"22136",626,3146,1145,13591,4881,973,44,55,1900,c(-74.0510025024, 4.6999998093)
"22137",636,6836,1145,16497,4734,5048,44,55,1914,c(-74.0520019531, 4.7100000382)
"22138",2405,6991,1238,15550,1047,5825,44,53,68,c(-74.034, 4.702)
"22139",1698,7589,1237,14068,1047,4385,44,53,68,c(-74.036, 4.703)
"22140",636,3146,1151,16485,4885,9357,44,55,400,c(-74.053, 4.704)
"22141",636,6831,1145,53875,4734,5048,44,55,1914,c(-74.05, 4.71)
"22142",2355,3344,1237,47079,4735,1889,44,53,68,c(-74.039, 4.703)
"22143",175,2710,749,6368,3527,6023,14,54,129,c(-74.036, 4.687)
"22144",428,7074,1219,6965,1151,31569,79,69,1943,c(-74.037, 4.725)
"22145",423,3431,1219,69237,4755,20757,79,69,134,c(-74.0410003662, 4.7220001221)
"22146",529,3421,1219,6965,1151,17788,79,69,1942,c(-74.0400009155, 4.7249999046)
"22147",529,3421,1219,6965,1151,17788,79,69,1942,c(-74.0400009155, 4.7249999046)
"22148",445,3438,1150,13622,4879,9349,16,56,1863,c(-74.052, 4.691)
"22149",625,1315,1145,13546,4881,5591,44,53,400,c(-74.0490036011, 4.7010002136)
"22150",636,6834,1145,53875,4734,5048,44,55,1914,c(-74.051, 4.71)
"22151",1795,3344,1152,13801,4880,1492,14,54,66,c(-74.043, 4.692)
"22152",427,415,170,27455,4755,3368,32,66,134,c(-74.043, 4.718)
"22153",531,7074,1219,43786,1150,21568,79,69,1967,c(-74.037, 4.731)
"22154",1060,3344,1152,13578,4880,1971,44,53,1900,c(-74.046, 4.699)
"22155",179,2980,156,13555,1038,1199,14,54,68,c(-74.037, 4.694)
"22156",530,3421,1220,13503,1151,12858,79,69,153,c(-74.042, 4.727)
"22157",490,3344,1237,13833,4735,9941,44,53,1907,c(-74.044, 4.705)
"22158",483,431,133,6453,8409,30558,31,50,2026,c(-74.037, 4.753)
"22159",1060,3344,1152,60969,4880,5692,44,54,66,c(-74.0459345, 4.6947946)
"22160",625,3438,1152,13615,4880,11719,44,54,13,c(-74.049, 4.695)
"22161",1087,415,170,27461,4755,3366,32,69,134,c(-74.04, 4.718)
"22162",1060,3438,1152,13614,4880,719,44,54,490,c(-74.049, 4.694)
"22163",1790,5385,166,15722,4852,12517,32,69,134,c(-74.029, 4.722)
"22164",555,1064,1219,29870,1151,3585,32,69,1946,c(-74.0329971313, 4.7249999046)
"22165",626,2153,1151,16375,4898,19375,16,56,13,c(-74.0540008545, 4.6960000992)
"22166",626,2153,1151,16375,4898,19375,16,56,13,c(-74.0540008545, 4.6960000992)
"22167",626,2153,1151,7106,4873,8932,44,56,1900,c(-74.0530014038, 4.6979999542)
"22168",1060,3344,1152,13802,4880,15512,44,54,66,c(-74.0429992676, 4.6960000992)
"22169",637,3344,1152,13832,4735,9947,44,53,1908,c(-74.045, 4.703)
"22170",486,3344,156,47066,1047,5831,44,53,68,c(-74.038, 4.699)
"22171",1795,3344,1152,13787,4880,1491,14,54,66,c(-74.044, 4.692)
"22172",420,3431,1219,6965,1151,17783,79,69,134,c(-74.039, 4.724)
"22173",1087,415,170,27462,4755,3367,32,69,1925,c(-74.04, 4.716)
"22174",1776,3420,1221,13503,6308,4743,79,66,153,c(-74.047, 4.728)
"22175",2065,1232,932,58262,6300,13874,79,50,2005,c(-74.035, 4.744)
"22176",635,1315,1145,13538,4734,4979,44,53,1907,c(-74.048, 4.704)
"22177",531,7073,1222,29877,1150,12624,79,69,1967,c(-74.033996582, 4.7309999466)
"22178",557,3438,1150,13622,4899,9350,16,56,1863,c(-74.053, 4.691)
"22179",626,3527,1150,16371,4895,22192,16,56,1856,c(-74.0550003052, 4.6939997673)
"22180",175,2710,749,6375,3527,6026,14,54,129,c(-74.0370025635, 4.6869997978)
"22181",81,556,1055,15387,3568,3298,14,53,68,c(-74.0270004272, 4.7020001411)
"22182",530,3421,1219,13508,4755,12859,79,69,1943,c(-74.042, 4.726)
"22183",81,556,1055,15387,3568,3298,14,53,68,c(-74.0270004272, 4.7020001411)
"22184",1060,3438,1152,13614,4880,10586,44,54,1856,c(-74.048, 4.693)
"22185",636,1315,1145,13540,4881,4905,44,52,400,c(-74.05, 4.703)
"22186",491,6831,1237,13834,4735,5075,44,53,1907,c(-74.044, 4.707)
"22187",636,6830,170,44778,4734,4914,44,55,1914,c(-74.05, 4.712)
"22188",1060,3344,1152,13578,4880,15529,44,54,1900,c(-74.047, 4.698)
"22189",1087,415,170,27461,4755,3366,32,69,134,c(-74.04, 4.718)
"22190",636,6830,1529,27539,4734,4914,44,55,1914,c(-74.049, 4.711)
"22191",445,3438,1150,13622,4879,9349,16,56,1863,c(-74.052, 4.691)
"22192",445,2645,1153,13779,4879,715,33,54,2276,c(-74.048, 4.69)
"22193",441,2162,166,15520,4758,5146,32,69,134,c(-74.035, 4.715)
"22194",294,6940,1221,2002,4755,953,20,66,1928,c(-74.049, 4.72)
"22195",295,6931,170,44791,4756,5593,20,62,874,c(-74.049, 4.716)
"22196",626,2153,1151,13612,4880,8936,44,51,13,c(-74.051, 4.696)
"22197",626,2153,1151,13616,4879,724,44,56,490,c(-74.052, 4.695)
"22198",441,2162,166,46131,4826,1169,32,69,134,c(-74.034, 4.717)
"22199",625,3438,1152,13615,4880,11719,44,54,13,c(-74.049, 4.695)
"22200",625,3146,1145,13547,4881,5574,44,53,1900,c(-74.049, 4.7)
"22201",79,2980,156,13554,1038,5806,14,54,68,c(-74.036, 4.696)
"22202",66,3344,156,2640,4735,967,44,53,68,c(-74.041, 4.7)
"22203",425,2162,166,49632,4755,5146,32,69,134,c(-74.036, 4.716)
"22204",529,7074,1219,6962,1151,10611,79,69,153,c(-74.039, 4.727)
"22205",1790,5385,166,15717,4852,2008,32,69,134,c(-74.03, 4.72)
"22206",198,434,1930,6445,8409,32607,31,50,2026,c(-74.039, 4.755)
"22207",636,6836,1145,16497,4734,5048,44,55,1914,c(-74.052, 4.71)
"22208",284,554,168,15653,1042,1069,32,53,68,c(-74.029, 4.709)
"22209",2246,556,168,15417,3568,1860,14,53,68,c(-74.029, 4.703)
"22210",208,7074,1219,49313,1150,14117,79,69,1967,c(-74.039, 4.732)
"22211",1060,3438,1153,13614,4880,10586,44,54,1855,c(-74.049, 4.693)
"22212",445,3438,1153,17646,4879,715,33,54,2276,c(-74.049, 4.69)
"22213",445,2645,1633,13756,4879,1873,33,54,2289,c(-74.048, 4.687)
"22214",284,556,168,15413,3568,1864,32,53,68,c(-74.029, 4.705)
"22215",427,415,170,27455,4755,1592,79,66,134,c(-74.043, 4.719)
"22216",176,3344,156,13557,3527,5699,14,54,68,c(-74.039, 4.693)
"22217",1061,3344,156,13565,4880,32941,44,54,68,c(-74.041, 4.695)
"22218",284,526,168,15639,1042,1068,32,53,68,c(-74.029, 4.708)
"22219",2246,1815,1055,14097,3568,3298,14,53,68,c(-74.028, 4.701)
"22220",284,554,168,15653,1042,1069,32,53,68,c(-74.029, 4.709)
"22221",531,7074,1219,29877,1150,21578,79,69,1964,c(-74.034, 4.73)
"22222",486,3344,156,47066,1047,5831,44,53,68,c(-74.038, 4.699)
"22223",626,3438,1150,13623,4879,9350,16,56,1861,c(-74.053, 4.692)
"22224",295,494,170,45208,4756,4909,44,66,874,c(-74.048, 4.715)
"22225",281,2162,192,6978,4851,5120,32,69,134,c(-74.03, 4.715)
"22226",284,556,168,15413,3568,1864,32,53,68,c(-74.029, 4.705)
"22227",1060,3344,1152,13821,4880,15522,44,54,66,c(-74.044, 4.697)
"22228",626,3438,1150,13623,4879,9350,16,56,1861,c(-74.053, 4.692)
"22229",445,2645,1154,13757,4879,1874,33,54,2276,c(-74.049, 4.687)
"22230",79,6991,1241,14101,3568,1860,14,53,68,c(-74.03, 4.703)
"22231",626,2153,1151,7106,4873,8932,44,56,1900,c(-74.053, 4.698)
"22232",2246,6991,1055,1222,3561,3298,14,53,68,c(-74.03, 4.701)
"22233",419,415,166,45951,4755,3366,32,69,134,c(-74.038, 4.719)
"22234",489,522,1237,49692,4736,31149,44,53,1907,c(-74.04, 4.707)
"22235",441,2162,166,15520,4758,5146,32,69,134,c(-74.035, 4.715)
"22236",284,556,168,15410,3568,1864,32,53,68,c(-74.029, 4.706)
"22237",1795,3344,1632,13762,3515,1492,14,54,66,c(-74.042, 4.691)
"22238",626,2153,1151,16375,4898,19375,16,56,13,c(-74.054, 4.696)
"22239",781,7058,1238,6961,3568,32155,32,53,68,c(-74.032, 4.709)
"22240",281,2162,1989,1861,4851,3582,32,69,134,c(-74.031, 4.714)
"22241",491,3344,1237,13833,4735,9942,44,53,1907,c(-74.043, 4.705)
"22242",1690,522,1237,49694,4736,31149,44,53,1907,c(-74.041, 4.707)
"22243",284,526,168,15639,1042,1068,32,53,68,c(-74.029, 4.708)
"22244",626,3146,1151,16434,4873,971,44,55,400,c(-74.053, 4.702)
"22245",1795,2645,1632,13761,3515,5720,14,54,66,c(-74.043, 4.69)
"22246",626,3146,1151,16434,4873,971,44,55,400,c(-74.0530014038, 4.7020001411)
"22247",1061,3344,1152,13573,4880,1975,44,54,68,c(-74.0419998169, 4.6970000267)
"22248",626,3439,1150,13617,4879,22194,16,56,1852,c(-74.0530014038, 4.6929998398)
"22249",555,1064,1219,29870,1151,3585,32,69,1946,c(-74.0329971313, 4.7249999046)
"22250",555,1064,1219,29870,1151,3585,32,69,1946,c(-74.0329971313, 4.7249999046)
"22251",555,1064,1219,29870,1151,3585,32,69,1946,c(-74.0329971313, 4.7249999046)
"22252",2246,7056,1055,1222,1047,3298,14,53,68,c(-74.03, 4.7)
"22253",636,1315,1145,13540,4881,4906,44,55,400,c(-74.051, 4.703)
"22254",557,3459,1155,16326,6315,8920,16,56,2283,c(-74.056, 4.689)
"22255",574,1565,1221,49327,6308,12428,79,69,1977,c(-74.0419998169, 4.734000206)
"22256",140,4350,1221,13450,6308,1488,79,69,1964,c(-74.0459976196, 4.7319998741)
"22257",490,6924,1145,13534,4735,5034,44,53,1907,c(-74.046, 4.706)
"22258",1795,2645,1632,13761,3515,5720,14,54,66,c(-74.043, 4.69)
"22259",1795,3438,1153,13784,4880,661,14,54,66,c(-74.045, 4.691)
"22260",425,2162,166,49632,4758,5146,32,69,134,c(-74.036, 4.715)
"22261",425,2162,166,49632,4758,5146,32,69,134,c(-74.036, 4.715)
"22262",425,2162,166,49632,4758,5146,32,69,134,c(-74.036, 4.715)
"22263",636,1315,1145,16485,4881,4906,44,55,1911,c(-74.052, 4.704)
"22264",284,7058,1241,15408,3568,1867,32,53,68,c(-74.03099823, 4.7069997788)
"22265",486,7342,156,15550,1047,5830,44,53,68,c(-74.036, 4.7)
"22266",427,415,170,27458,4755,3367,32,69,134,c(-74.041, 4.717)
"22267",491,522,1237,13836,4735,31149,44,53,1907,c(-74.042, 4.707)
"22268",1771,3309,1222,43806,1150,6769,79,69,1964,c(-74.03, 4.729)
"22269",445,3441,1150,17645,4879,6218,33,56,2276,c(-74.052, 4.69)
"22270",486,3344,156,47066,1047,5828,44,53,68,c(-74.038, 4.7)
"22271",295,494,170,45208,4756,4909,44,66,874,c(-74.048, 4.715)
"22272",443,2162,166,46112,4852,5181,32,69,134,c(-74.0319976807, 4.7189998627)
"22273",2246,6991,1055,1222,3561,3298,14,53,68,c(-74.03, 4.701)
"22274",2357,6991,1238,15546,3566,3313,44,53,68,c(-74.034, 4.703)
"22275",179,2980,156,13555,1038,5666,14,54,68,c(-74.036, 4.694)
"22276",529,7074,1219,6962,1151,10611,79,69,153,c(-74.04, 4.727)
"22277",626,3146,1145,16434,4881,971,44,55,400,c(-74.052, 4.702)
"22278",295,494,170,45208,4756,4909,44,66,874,c(-74.048, 4.715)
"22279",441,2162,166,15710,4852,5127,32,69,134,c(-74.032, 4.717)
"22280",2069,5384,1396,60139,1150,9374,79,69,1977,c(-74.033, 4.733)
"22281",626,2153,1151,13616,4879,724,44,56,490,c(-74.052, 4.695)
"22282",626,3146,1151,16437,4885,971,44,55,400,c(-74.053, 4.703)
"22283",1775,3420,1221,13503,6308,4748,79,69,153,c(-74.045, 4.728)
"22284",486,3344,156,47066,1047,5828,44,53,68,c(-74.038, 4.7)
"22285",2466,6418,35,11342,7232,27634,67,49,76,c(-74.0780029297, 4.5900001526)
"22286",152,1001,1739,10426,3491,5769,26,44,100,c(-74.066, 4.61)
"22287",1220,5646,260,49151,6911,451,27,141,1788,c(-74.0810012817, 4.6009998322)
"22288",152,2343,692,41477,3474,10686,26,45,650,c(-74.0650024414, 4.617000103)
"22289",152,2343,692,41477,3474,10686,26,45,650,c(-74.0650024414, 4.617000103)
"22290",2636,7876,260,52232,6900,445,27,141,1813,c(-74.0780029297, 4.6040000916)
"22291",1119,3290,460,35602,6863,3634,66,49,1822,c(-74.068, 4.6)
"22292",471,5092,42,27832,5792,288,26,45,635,c(-74.0690002441, 4.618999958)
"22293",307,5501,1376,11595,6464,3575,84,92,519,c(-74.1190032959, 4.5949997902)
"22294",1119,1001,511,40641,6879,11466,66,6,1819,c(-74.067, 4.602)
"22295",659,920,291,54067,4242,7421,9,107,2550,c(-74.1200027466, 4.623000145)
"22296",1840,1005,902,40262,7010,27639,66,49,310,c(-74.0690002441, 4.5920000076)
"22297",1206,3573,1640,10732,4336,16330,27,143,765,c(-74.0920028687, 4.5949997902)
"22298",2689,3009,2245,14519,4336,12565,84,143,1144,c(-74.1009979248, 4.6079998016)
"22299",560,669,157,49305,6321,14720,16,64,1254,c(-74.06, 4.685)
"22300",139,2514,908,32384,8089,9621,46,71,1228,c(-74.071, 4.662)
"22301",1109,2938,1751,27804,3794,191,13,71,615,c(-74.0709991455, 4.6500000954)
"22302",582,1035,1173,27697,8178,29047,30,65,473,c(-74.0719985962, 4.6849999428)
"22303",31,4639,567,4199,3554,573,13,140,1304,c(-74.0859985352, 4.6290001869)
"22304",560,669,157,49304,8178,1990,16,64,2450,c(-74.061, 4.684)
"22305",139,3043,908,4955,8089,23162,46,71,1225,c(-74.072, 4.664)
"22306",20,1959,11,43660,3794,34423,13,84,1074,c(-74.075, 4.639)
"22307",6,70,56,18635,6647,486,47,65,2336,c(-74.0859985352, 4.6739997864)
"22308",17,1959,145,27680,3794,206,13,85,1913,c(-74.0749969482, 4.6440000534)
"22309",1109,689,768,27763,3794,10277,13,85,1195,c(-74.0729980469, 4.6459999085)
"22310",139,3396,220,41266,8089,29266,22,71,598,c(-74.0640029907, 4.6620001793)
"22311",582,1035,1173,27697,8178,29047,30,65,473,c(-74.0719985962, 4.6849999428)
"22312",582,1035,1173,27697,8178,29047,30,65,473,c(-74.0719985962, 4.6849999428)
"22313",384,1017,1173,68080,8178,5913,16,65,473,c(-74.0690002441, 4.6880002022)
"22314",384,1017,1173,68080,8178,5913,16,65,473,c(-74.0690002441, 4.6880002022)
